zip,lat,lgt
02135,42.346877194,-71.151523074
02136,42.255987377,-71.123415168
02137,42.237182,-71.131822
02138,42.377087865,-71.121897352
02139,42.365483367,-71.10477859
02140,42.392586653,-71.130982824
02141,42.370856785,-71.082652981
02142,42.363280997,-71.083701457
02143,42.382722555,-71.101623238
02144,42.399766654,-71.121908081
02145,42.391626047,-71.091312882
02148,42.429766547,-71.05903316
02149,42.410655654,-71.051790219
02150,42.396280701,-71.032432492
02151,42.414424034,-71.004358315
02152,42.377499337,-70.979735475
02155,42.416647148,-71.105827118
02163,42.365053065,-71.119735048
02169,42.247985321,-70.999834968
02170,42.267301536,-71.018710375
02171,42.28353861,-71.025885809
02176,42.456900266,-71.063777739
02180,42.482482908,-71.097766548
02184,42.208060494,-70.995413862
02185,42.202514,-71.001199
02186,42.253741984,-71.076716909
02188,42.207891836,-70.956925412
02189,42.211337874,-70.93139907
02190,42.169572645,-70.949046438
02191,42.245779696,-70.94110975
02196,42.3554,-71.0544
02199,42.34863285,-71.082221052
02203,42.361859,-71.059669
02205,42.3502,-71.053657
02210,42.350248136,-71.045218289
02215,42.346106692,-71.099786044
02238,42.373359,-71.122925
02269,42.25123,-71.001811
02301,42.08214246,-71.033807838
02302,42.088413159,-71.001888978
02303,42.082012,-71.015256
02304,42.063362,-71.015373
02305,42.101698,-71.032983
02322,42.124955376,-71.042795809
02324,41.982590876,-70.972265023
02327,42.0316,-70.8302
02330,41.885930707,-70.765105315
02331,42.0273456,-70.682048203
02332,42.037897767,-70.714131594
02333,42.032146345,-70.943949103
02334,42.0726,-71.1068
02338,41.998247032,-70.849769688
02339,42.122016866,-70.851310842
02341,42.057047913,-70.865150465
02343,42.147667442,-71.007626507
02345,41.9262,-70.5508
02346,41.892233913,-70.89390749
02347,41.837861414,-70.95683743
02350,42.0321,-70.8481
02351,42.116676162,-70.954832144
02356,42.056689902,-71.112743344
02359,42.064487241,-70.803503702
02360,41.901425467,-70.627272897
02361,41.955721,-70.663866
02362,41.92638,-70.656364
02364,41.992923572,-70.741843274
02367,41.964928608,-70.805551073
02368,42.173913677,-71.05319223
